Timestamp,Which workshop did you attend?,"Compared to before this session, how familiar are you with the topics covered in the workshop?",How much practical knowledge did you gain from this session?,How do you imagine you will apply what you've learned?,Are you inspired to learn more about the topic in the future?,"On your way to R mastery, where are you now?",What is one thing you liked about the workshop? Please be as descriptive as possible.,What is one thing you would change about this workshop? Please be as descriptive as possible.,Any other comments?
6/2/2018 11:59:12,A gRadual intRoduction to Data Wrangling,Less familiar.,Some practical knowledge.,,Yes,2,The ability to try out what we were talking about during the session. ,More feedback provided to us on what we were doing and implications for how to use this information.,Loved it! :) 
6/2/2018 11:59:40,A gRadual intRoduction to Data Wrangling,More familiar.,Some practical knowledge.,I was actually attending because I always teach R and I was curious to see how you guys taught.,Yes,3,Short challenges,I would start with importing data first,
6/2/2018 11:59:55,A gRadual intRoduction to Data Wrangling,More familiar.,A great deal!,Applying the tools to everyday data I am using!,Yes,2,"I LOVE getting the project file!! Instead of rushing to follow along I had everything I needed, thank you!!!!!!",Have it be longer and do more! ,Excellent!!!
6/2/2018 11:59:57,A gRadual intRoduction to Data Wrangling,Equally familiar.,Some practical knowledge.,cleaning data,Yes,1,Very descriptive files that I can easily look over later,More explicit step-by-step instructions,
6/2/2018 12:00:29,A gRadual intRoduction to Data Wrangling,More familiar.,Some practical knowledge.,This seems like an easier way to introduce new R users than data manipulation in Base $.,Yes,3,Clear examples with well parsed-out tasks to accomplish the required commands.,It would've been nice to have a bit of an introduction to the data sets before manipulating them - good practice in general.,
6/2/2018 12:01:22,A gRadual intRoduction to Data Wrangling,More familiar.,Some practical knowledge.,I'm not sure yet,Yes,1,"I liked the examples as we went, and being able to learn along side other people.",I think definitions could have been helpful such as 'dplyr' and 'tidyverse',
6/2/2018 12:02:56,A gRadual intRoduction to Data Wrangling,More familiar.,A great deal!,Make me much more likely to use R!!!,Yes,1,The easy to use interface of R markdown. Opportunity to follow along then practice on own.,Just wish we had more time - I was having fun!,
6/2/2018 12:19:27,A gRadual intRoduction to Data Wrangling,More familiar.,Some practical knowledge.,"To make data tidy, I currently use SQL, Excel, Python.  I hope to use R after this.",Yes,1,the kniter docs with comments along with code is very helpful!,It would be nice if you stuck around for additional questions (tho I understand we all want lunch).,Thanks!
6/2/2018 12:39:21,A gRadual intRoduction to Data Wrangling,More familiar.,A great deal!,In Bioinformatics research,Yes,5,I liked the examples and working through problems,Nothing,
6/2/2018 12:50:40,A gRadual intRoduction to Data Wrangling,Less familiar.,A great deal!,Cleaning and creating data for plots and statistical analyses,Yes,1,Examples of what different packages can do. Easier than basic R.,Was their email message about docs for downloading packages and doing some homework before the worhshop,
6/2/2018 12:55:00,A gRadual intRoduction to Data Wrangling,More familiar.,Some practical knowledge.,playing around with data frames in the future,Yes,1,"Gave an example, then had us execute it on our own. I liked that it was beginner because it addressed simple R questions I had straight away (I knew nothing coming in).","After the exercises we kinda just moved on too quickly without addressing the exercise in as much depth as I would've liked. Some examples were ok. But if you can, type out the answer to the question for every example at the end of the exercise, not while people are working.",It was fun!
6/2/2018 12:59:36,A gRadual intRoduction to Data Wrangling,More familiar.,Some practical knowledge.,,Maybe,1,You have the workshop rmarkdown available with a corresponding DataCamp so I can practice later - very useful!,"In conference preparatory materials, you could point beginners  to sources beyond ""Getting used to R, RStudio, and R Markdown."" That was extremely helpful to learn the layout of RStudio; however, this workshop also assumes some level of familiarity with the R language and functionality of RStudio that a complete R beginner does not possess. 
I have never used R or written code before, and the beginning of the workshop felt like being dropped into the deep end - and I was struggling  because I didn't understand the basics, and then the topics build on each other. 
You cover a lot of material in this workshop, so it moves pretty fast... and I was able to follow (comprehend) the topics, but didn't have time to actually learn or apply it while I was also working through syntax and format. 
From a brief look, the ModernDive text would be a great thing to link attendees to, and you could be more specific about the base-knowledge level of the workshop.",
6/2/2018 13:08:26,A gRadual intRoduction to Data Wrangling,More familiar.,A great deal!,on my daily analysis of bio data,Yes,1,the interactive nature and proposed exercises,post pre-requisites for those who are brand new,
6/2/2018 11:49:05,Intermediate Machine Learning 1,More familiar.,A great deal!,Testing out keras and playing with established datasets to start,Yes,3,"Spent a lot of time on underlying background, giving context to the work being explained. Made the whole topic very accessible","I would like more active coding examples/time, or a chance to play with the data/functions. But I think to make that time we would have to shorten the background portion, which was absolutely essential for my learning.",Excellent workshop for me
6/2/2018 11:49:18,Intermediate Machine Learning 1,More familiar.,A great deal!,Building more neural nets :),Yes,3,It was engaging and thorough -- good mix of review and looking forward,More interactive,This was a really great presentation. Would love to see more from Paige.
6/2/2018 11:51:55,Intermediate Machine Learning 1,Equally familiar.,None.,,Yes,3,Appreciated the attempts to build the intuition of how neural networks work,"For an intermediate workshop, I expected hands on practice. This is more of a beginner level introduction to neural nets. No real hands on practice and challenges was a big bummer.",
6/2/2018 11:52:42,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,"I'm not sure yet, either for general experience or for future research for my thesis.",Maybe,3,Tons of name-dropping for useful websites/books/people (I also loved concurrent slack help),It would be nice to walk through an example -- but I understand that can take excessive time.,
6/2/2018 11:53:34,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,I have a basis of knowledge to learn more about deep learning and how to approach model building.,Yes,3,The cheese tasting example was a handy way to explain forward propagation in an understandable way.,I hoped this workshop would be a hands-on workshop for building models and coding in the Tensorflow API. Instead it was more of a lecture about neural networks.,
6/2/2018 11:53:48,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,I'll play around with TensorFlow and Keras and try to use it on a personal project.,Yes,3,"The speaker was very knowledgable and did a great job explaining difficult concepts that I've struggled with in the past in way that I could understand (e.g. activation functions, back-propagation, boosting, hyper-parameters, etc.)",I wouldn't change a thing.,Excellent workshop!
6/2/2018 11:54:28,Intermediate Machine Learning 1,Less familiar.,A great deal!,"Deep learning is a bit advanced for me, but I will use the theory in the beginning to understand ML technique differences. ",Yes,3,Theory and definitions,More beginner ML techniques,
6/2/2018 11:57:05,Intermediate Machine Learning 1,More familiar.,A great deal!,On a fun project,Yes,3,Humor,More examples,
6/2/2018 11:57:13,Intermediate Machine Learning 1,More familiar.,None.,This session did not provide me with sufficient knowledge to apply anything.,Maybe,4,I have a vague idea now of what a neural network is and that you can use TensorFlow to make them. ,"This session was very discouraging because it assumed lots of knowledge (not related to R) that I didn't have, such as what the MNIST data set is, details about training/test/validation data, what a ""learning rate is"", what ""mean squared error"" is and why you use it. There were also repeated statements like ""this is very simple"" when I didn't find the concepts simple at all. It was overwhelming and hard for me to follow. There should have been a prerequisite of a machine learning background. Or it should have been much more introductory. Like spend the entire time going through the code example and what it's doing and why it's doing that and what the graphs mean. ",:(
6/2/2018 11:57:17,Intermediate Machine Learning 1,Equally familiar.,None.,There is no way to apply anything from the lecture that was given. Maybe a demo or something would give me something to apply.,No,3,Nothing. Extremely disappointed.,Maybe have someone who appears to know the language and actually have some examples of how to complete the process for whatever the subject is. This was entirely lecture about the basic idea behind the topic. USELESS,
6/2/2018 11:57:25,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,Include it into some of the thinking as we scope new data projects in the upcoming year,Yes,3,Way of breaking down what's happening (mathematically) in a basic deep learning model,Spend a little more time during the R example.,
6/2/2018 11:58:48,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,Will use the Rstudio keras tutorial to try,Yes,4,useful links to reference,actually being walked through  an example in R where we could interact,"very knowledgable about Neural Networks.  It was more of a lecture/talk than a workshop, in my opinion.  Would have been nice to go through some examples. 
"
6/2/2018 12:07:05,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,"Launchpad to explore keras, TensorFlow, and deep learning on my own.",Yes,3,I learned how feed-forward propagation and gradient descent actually work.,"Lengthen it -- this needs to be at least a half-day workshop. Provide readings beforehand so more time can be spent with hands-on coding and interpreting models. I would also give people access to a VM or docker container before the conference, as people had difficulty with installation.",Q&A at the end was awesome! Paige showed some really useful-looking resources and gave clear answers.
6/2/2018 12:12:06,Intermediate Machine Learning 1,More familiar.,None.,I may recognize some ML jargon when I hear it again.,Maybe,,It was nice that people were trying to help other having trouble in the slack channel.,"There should have been information telling people what prior knowledge would have been useful for this workshop. I consider myself an intermediate R user who wanted to learn about ML but this was mostly way over my head so I kind of checked out. The answer to ""what is tensor flow"" wasn't answered until way into the talk, but it was referred to a lot before that. 
I don't think the comment about the high salaries that data scientists get (because they are working on things that are ""hard"") was  appropriate. ",
6/2/2018 12:45:13,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,Not sure yet,Yes,2,Great overview of ML and many things to learn more about/follow up on,Would have liked to spend more time on the hands-on example,
6/2/2018 12:47:02,Intermediate Machine Learning 1,More familiar.,A great deal!,,Yes,4,Great content,More examples,
6/2/2018 12:53:40,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,Knowing terms to search for machine learning in my field,Yes,3,She was very good at answering questions,More hands-on coding together and less lecture. For example - the cheese dataset was introduced but we ran out of time to actually implement ML on it,
6/2/2018 12:55:13,Intermediate Machine Learning 1,Equally familiar.,Some practical knowledge.,play,Yes,4,"Paige gives good talks 
",pre flight to check versions ,
6/2/2018 12:56:23,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,,Yes,4,"Simplified, 'real' example","A tiny bit less background, since intermediate level workshop",
6/2/2018 14:03:14,Intermediate Machine Learning 1,More familiar.,None.,I do not think I can apply what I learned.,Yes,1,Great birds-eye-view of ML,Show a working application of the keras package in R,
6/2/2018 14:32:54,Intermediate Machine Learning 1,Equally familiar.,Some practical knowledge.,,Yes,4,really fabulous simple explanations of the model,more interactivity working through an example and modifying live,
6/2/2018 14:35:12,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,"Not sure yet, it seemed more theoretical than practical",Yes,3,Good job explaining concepts in layman's terms,"Make it more interactive if possible, like walking through a Keras example and running the code to see what it's doing",Great session overall!
6/2/2018 15:13:48,Intermediate Machine Learning 1,More familiar.,A great deal!,I will start with small tutorials and learn to apply them to image recognition,Yes,2,It was very relaxed but understandable. She did a good job explaining how to get started with machine learning in R.,More ability to see the presentation on screen. Maybe some sort of live screen offering? (if that's possible),
6/2/2018 15:28:20,Intermediate Machine Learning 1,Less familiar.,Some practical knowledge.,I am not sure at this point.,Yes,3,Paige's explanation of neural nets,More time and a few more coding examples. ,Please share Peige's slides on slack. Thx!
6/2/2018 15:32:14,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,"Not sure, but it was interesting to learn about!",Yes,4,"I liked how Paige went into the background for tensorflow and ml in general. She gave a very approachable context to the topic and while we didn't get a chance to go over the actual demo, I felt as though I learned what I wanted to",Maybe have a primer beforehand?,
6/2/2018 15:34:18,Intermediate Machine Learning 1,Equally familiar.,None.,Contruct and run my own neural networks.,Yes,4,Useful introduction of terminology.,"Focus on R code, which was the topic of the talk. Do more than walk through the simplest example that is already available on the web site.",
6/2/2018 16:10:29,Intermediate Machine Learning 1,Less familiar.,A great deal!,There have been some questions about how to use machine learning techniques in my work space. Now I have a better understanding of what they're used for and will be able to contribute more to conversations.,Yes,2,The presenter was very prepared and knew how to explain difficult concepts to people from different backgrounds. I thought she did an excellent job. ,"If we had more time, it would have been nice to take some time to work through an example. It might have been better to have two workshops. One to learn the concepts and another to apply them. ",
6/2/2018 16:25:08,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,,Yes,4,"There was a nice, intuitive depiction of the math behind a neural network that other explanations often lack. Many, many sources were referenced that will give me a lot of reading material for after the conference.",It definitely wasn't very hands-on; I was hoping to get a little more coding out of it to jump off of for later work in deep learning.,
6/2/2018 16:53:56,Intermediate Machine Learning 1,Equally familiar.,None.,,Maybe,3,The speaker was animated and enthusiastic ,Way LESS jargon,This talk was super jargon heavy and moved at a fast pace. Due to the pace / jargon following the talk was very difficult. I thought the speaker was enthusiastic but missed the mark on knowing their audience. How can we follow you when your moving a mile a minute and throwing jargon at us? This talk was not appropriate for a teaching workshop but rather a talk to colleagues. 
6/2/2018 17:43:44,Intermediate Machine Learning 1,More familiar.,A great deal!,Classification,Yes,4,Easy to understand,A lot of people had problems installing Keras / TensorFlow,
6/2/2018 18:06:51,Intermediate Machine Learning 1,More familiar.,A great deal!,I hope to use some of the links and resources shared to try out keras on my own.,Yes,4,Great explanation! Great links and resources shared!,"A little more hands on coding, but understand that could be a challenge with this topic.",
6/4/2018 9:59:00,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,,Yes,5,pragmatical approach,"shorter introduction, more case studies/examples",
6/2/2018 15:16:37,Using R with Databases,Equally familiar.,None.,I will have to learn it later down the road.,Maybe,2,Understanding the uses for databases a bit more,"Too much technicality usually leads to a lot of problems. I would find a way to be able to display the workshop without everybody trying to install it. Too many unknowns that need to be accounted for in a group. Therefore, many weren't allowed to work interactively with the workshop. Many people didn't get to interact with this workshop.",
6/2/2018 15:31:04,Using R with Databases,Equally familiar.,Some practical knowledge.,Not sure,No,3,Not sure,"It needed to be much more structured and thought out. A screencast showing what was a complicated setup process, for instance, would have been super helpful.",
6/2/2018 15:31:47,Using R with Databases,Equally familiar.,None.,,No,3,Bold attempt to overcome the technical challenge,Consider network constraints when designing technical requirements. ,Why all the hate on dbplyr?
6/2/2018 15:32:53,Using R with Databases,Equally familiar.,None.,NA,No,3,The idea/topic of the workshop.,It was dependent on software downloads that were not successful for a lot of the group. ,"It was specific content, and I do not have the knowledge/skills to apply this to any potential interactions I may have with databases. Pretty disappointed with this workshop."
6/2/2018 15:33:03,Using R with Databases,Less familiar.,Some practical knowledge.,I want to use more SQL via R in my day to day job.,Yes,3,got more knowledge on certain sql functionalities  ,"I couldn't make vagrant work, that is quite frustrating. The presenter should have had a back up plan for vagrant. ",
6/2/2018 15:35:24,Using R with Databases,Equally familiar.,None.,,,,Github repo and slack channel help keep individuals on track.,"Aim to provide resources to software download and exercises, but workshop time could be devoted more to 'why' to avoid being derailed if the download fails.",
6/2/2018 15:35:54,Using R with Databases,Equally familiar.,Some practical knowledge.,I might go back to this code to continue learning how to apply dplyr in this situation. But I need more practice seeing/knowing database structure before I would attempt this.,Yes,3,"Interactive! And that I got code that I might be able to use in the future. At least, I'm familiar with more terms.",Have more specific instructions for downloading/accessing the documents/instance a few days before the workshop. Also understanding enough of the database to successfully write and understand a command.,Is dplyr good to use? Or just not good enough to actually use? I suppose I'm confused about what is best.
6/2/2018 15:35:54,Using R with Databases,Equally familiar.,None.,,Maybe,3,RMarkdown usage,"I was not able to get Vagrant to work on my machine. Many people around me were unable as well, I'm not sure the instructions were robust for different machines and setups.",
6/2/2018 15:36:29,Using R with Databases,Equally familiar.,Some practical knowledge.,There were a couple components I'll likely use in an upcoming project,Maybe,3,real-life example was used (data with sufficient complexity to mimic real-life),"Should have had a whole 30minutes before coming into this session where help was on hand to get everything installed and ready (vagrant, virtualbox, db connections)",
6/2/2018 15:37:04,Using R with Databases,More familiar.,Some practical knowledge.,Using example to parameterize my SQL query using glue::glue(),Yes,4,I liked the creation of a virtual desktop to try and mediate the installation process,instructions on installing and loading the image *before* the workshop.  There ended up being installation issues in it of itself.,"The RMD file provided is full of great information.  Aaron is obviously incredibly knowledgable.  The RMD file is very clearly laid out.

From a pedagogical standpoint, it was harder for me to understand exactly what the point of the specific function ( dbSendQuery(), dbFetch()) and dbplyr.  

Aaron mentioned how you could get this to interface with a shiny app (eg, dynamically querying your database based on shiny input).  It would've been nice to see an actual shiny app where this was the care and a nice way to see how everything flows together.

Overall, thanks!  "
6/2/2018 15:46:50,Using R with Databases,More familiar.,Some practical knowledge.,,Maybe,3,Aaron's calm demeanor and attitude about fun,More of a back up for people who couldn't get their environments working,
6/2/2018 15:48:35,Using R with Databases,Less familiar.,Some practical knowledge.,Test it on a problem that I am working on.,Yes,2,Hands-on and tips provided during the sessions,Send an email reminder to look at the workshop files/instructions ahead of time,
6/2/2018 16:20:15,Using R with Databases,More familiar.,A great deal!,,Yes,4,"The workshop was very interactive. There was space for talking about some general RDB information, a walkthrough of some different methods for working with RDBs in R, and a few ""on your own"" examples to work through.","It was a little disorganized. The document to work through was set up well, but there were a handful of pretty substantial deviations that took us off track. There were also lots of problems with the software setup (virtualbox/vagrant) at the beginning to work through.",
6/2/2018 16:23:37,Using R with Databases,More familiar.,A great deal!,Read data from SQL databases at my work.,Yes,4,Many code examples with good explanations in text.,"The Vagrant installation worked well for me, but many other people seemed to have problems, so maybe a little more explanation is required for the installation. For example, explaining how to handle common problems.",Good tutorial!
6/2/2018 16:47:36,Using R with Databases,Less familiar.,None.,,Maybe,3,nothing,A more accessible way to get to the hands on portion. ,"Clearly there was a huge hurdle to downloading what was needed. when the talk finally started, 30 plus minutes late, 10 or less people actually had access to the materials needed. It would have been a good idea to test run the download process before the class. Everyone was frustrated and already turned off to the talk before it even started. Its a lot of work to win an audience's attention and praise back after a catastrophic start like this one. Your talk may have been the best every, but 90% of people are already checked out... "
6/2/2018 17:14:09,Using R with Databases,Equally familiar.,None.,Didn't learn much from this session.,Yes,3,The topic was a good idea. Just the execution was lacking.,The presenter seemed unprepared. I couldn't tell if it was just bad luck or if it would have gone better if he had practiced more. He didn't seem to know what would work or wouldnt' work or where the files he needed were. It was hard to concentrate on what he was saying because there were so many technical problems. There wasn't a good flow to the content. He was jumping around a lot.,It would probably be better to use a set up prereqs to the workshop that are more foolproof. 
6/2/2018 18:27:19,Using R with Databases,More familiar.,Some practical knowledge.,I should be able to query a database with R,Yes,4,The presenter put a lot of time effort in to building a virtual environment for attendees to play in.,It would have been good to have the instructions for installing the virtual machine 4 or 5 days prior to the meeting. That way a greater number of attendees might have had the virtual machine installed by the time the workshop started.,"The presenter jumped around quite a bit (literally, from workspace to workspace) and this just gave the impression of being slightly disorganized."
6/2/2018 19:34:47,Using R with Databases,More familiar.,A great deal!,I’ll try to use it during my innovation time at work to do something useful.,Yes,3,The speaker had a great attitude and was engaged with the audience. They checked in with us regularly to gauge our understanding and make sure we weren’t blocked.,We probably spent too much time trying to resolve dependencies and get the examples working on everyone’s slightly different laptops.,Great workshop!
6/2/2018 19:38:26,Using R with Databases,Equally familiar.,Some practical knowledge.,Not sure yet,Yes,2,It was great to see ways to integrate R and SQL databases. ,"The ""vagrant-situation"" shifted my attention to making it work from the main topic of the workshop. Also, in the instructions, uncareful readers (like me) understood that we would need either Virtual Box or Vagrant, not both - the and/or was a little misleading. ","The instructor showed a good domain knowledge. So sad that the main thing I remember from the talk is that ""now I know how to install and run Vagrant - and it does take a loong time to run""."
6/3/2018 6:14:52,Using R with Databases,More familiar.,Some practical knowledge.,I will use dplyr to access databases more efficiently,Yes,3,Loved the practice problem and the instructor’s tips on the gotchas with using dbplyr!,"Instead of requiring attendees to install VMs and packages on their different systems, provide access to a cloud instance of RStudio, all required packages, and the database (maybe see if Microsoft will donate?), to maximize the time spent on the topic of the workshop.",
6/3/2018 9:03:04,Using R with Databases,Equally familiar.,Some practical knowledge.,will try out the glue package for building SQL query statements,Yes,4,effectively demystified how to run SQL on databases from R and made it realy approachable,have more people using multiple OSes test out virtualbox/vagrant setup process from directions as written before workshop and enhance instructions with their feedback,"I'm not sure how familiar others in the audience were with SQL going into the workshop but since logic of SQL queries weren't really explained, would have been helpful to assign pre-reading and also link to some schema descriptions and data dictionaries for the example"
6/3/2018 11:46:47,Using R with Databases,More familiar.,A great deal!,Shiny inputs feeding into glue for SQL manipulation.,Yes,3,Seeing what tools and library's are being used to work between R and the Database.,Aaron has the technical skills but could have done better with his presentation skills and audience engagement.,
6/5/2018 11:08:24,Using R with Databases,More familiar.,A great deal!,Performance was touched on briefly.  My experience has been that it is better to execute the SQL on the server as opposed to submitting an R generated SQL statement to the server.  The session confirmed my experience.  ,Yes,2,"The virtual machine is a fantastic tool to have in one's toolbox.  Once the virtual machine has been set up, it is a great sandbox for a number of things that I would like to do.  1.  Create a data driven shiny app that pulls configuration information directly out of a database.   The data can be static information like MathJax formulas or dynamic web pages for input prompts for calculations or graphics.   Problem and solution data sets can be stored in the database.  2.  The virtual machine can be used to demo R's capabilities to organizations that have not been expose to R or are a little reluctant to take a look.  

The virtual machine was well worth the price of admission alone.  I was going to install MS-SQL Server on my laptop.  Now I can just use the virtual box.","A step by step illustrated installation document outlining each step, a rough time range for how long each step will take, minimum machine hardware requirements, OS level, and permissions would have eliminated most of the installation issues.  Some users were unfamiliar with them command line. 

Of those that I helped and was successful in getting up were happy.  Most of those that I helped and could not get successfully installed were still appreciative.   Two had windows 7 and another did not have admin rights to the laptop.","The content selection seemed spot on for the subject matter and audience.  For newbie SQL users, the syntax was short enough to get the flavor of how to get the task done.  For experienced users, the SQL was nothing to write home about.       For the newbie, the different joins probably did not make a lot of sense, but would make sense to an experienced SQL user.  

For the experienced SQL user, the parameterization syntax is the key take away of the presentation.  

Most R presentations have a source CSV flat file for the demo.  An application ERD slide would have been useful to drive home the points of a relational DB, the skill set needed to navigate/understand it (join types), and the associated compensation all in one slide.

Aaron, contact me if anything needs clarification -- Sophie."
6/6/2018 11:33:28,Using R with Databases,Equally familiar.,Some practical knowledge.,interacting with databases was a skill that i was hoping to improve,Yes,4,I liked the energy and ambition of the presenter. He clearly knew how to work on databases,"trying to get everyone to install a vagrant image and run it is difficult and time consuming. I would suggest in the future if you want to set up a db, just set one up in an aws or something, and then you can teach us how to connect to a db in the cloud - much more useful and less software for us to install",
6/6/2018 11:35:02,Intermediate Machine Learning 1,More familiar.,A great deal!,,Yes,3,the high level description of a machine learning process,Provide a worked example,
6/2/2018 13:20:41,A gRadual intRoduction to Data Wrangling,More familiar.,A great deal!,When trying to sort through datasets or transforming them from longform to short this will definitely help.,Yes,1,I really liked the notes in the markdown file. ,"There were several terns that needed definition or further definition for a beginner like myself (e.g. gather() ""key"")","This conference is a great resource. All of the individuals in my department that are successful with R have attended this confrence. So, this really makes a difference for both faculty and students. "
6/6/2018 11:38:18,Intermediate Machine Learning 1,More familiar.,Some practical knowledge.,,Maybe,3,Paige provided a great high level overview of machine learning.,"I would have liked to see more code examples, but realize that the length of the workshop make that challenging.",
6/6/2018 11:38:41,Using R with Databases,Equally familiar.,None.,,Yes,3,I was excited to see this topic being offered.,"Better communication about the requirements of the workshop, not everyone uses or is used to using Slack, it would have been great if, at a minimum, major announcements were made via email and Slack.",There was some initial confusion and misunderstanding on whether both vagrant and/or virtual box was needed to participate. It seemed a little ardous to have people install additional software when there are easier ways to connect to databases (e.g. url). The presenter did not seem well rehearsed or prepared to run the workshop. There was no clear agenda or learning goal of the workshop.
6/6/2018 11:41:04,Using R with Databases,More familiar.,Some practical knowledge.,,Maybe,3,Links to resources to learn more,The issues around getting up and running with vagrant took much more of the session than it should have. There was also not nearly enough focus on the code as I would have liked.,
6/6/2018 12:02:39,Using R with Databases,More familiar.,A great deal!,I have already talked with others about some ideas using machine learning for work.,Yes,2,"I love the machine learning workshop which covers not only the coding piece, but also the math/algebra behind it, so that I get a good understanding of the blackbox that people usually not talk about. The speaker was a very good teacher that made the concept very easy to understand.",I hope the workshops won't overlap so that I can attend all of them.,
6/2/2018 13:22:34,A gRadual intRoduction to Data Wrangling,Equally familiar.,Some practical knowledge.,,Yes,2,systematic introduction of the topic and provide resources to look into in the. future,maybe provide some basic intro for people who has no experience with R to read before the workshop,
6/2/2018 13:56:28,A gRadual intRoduction to Data Wrangling,More familiar.,Some practical knowledge.,,Yes,1,the challenge questions,it seemed to cover a lot of ground pretty fast - the intro to what gather and spread were doing could have used a little more time,"fun workshop, thank you!"
6/6/2018 13:15:54,Using R with Databases,Equally familiar.,None.,NA,Maybe,3,Good topic,"Give everyone setup instructions ahead of time, don't try to help people download and install everything during the session. The session got completely derailed by telling people to do a download that takes 15 minutes. 100 people downloading a huge file over public WiFi takes way longer than 15 minutes. Have people set that up before the conference so the session can actually be about learning.",
6/2/2018 18:49:17,A gRadual intRoduction to Data Wrangling,More familiar.,A great deal!,,Yes,1,"That we first worked through examples together, and then had opportunities to try to solve new problems ourselves.",It was good as is. ,
6/6/2018 14:39:54,Intermediate Machine Learning 1,Equally familiar.,Some practical knowledge.,,Yes,3, broad and high level to get overview of the landscape,more time to go in more detail,
6/6/2018 11:35:06,A gRadual intRoduction to Data Wrangling,Less familiar.,Some practical knowledge.,Some,Maybe,1,Fun,"More workshop, less speakers",
